Epoch [2/100], Loss: 3.1509, Training Accuracy: 21.85%, Testing Accuracy: 24.28%, Evaluation Time: 0.75 minutes.
Epoch [36/100], Loss: 1.1643, Training Accuracy: 65.04%, Testing Accuracy: 36.16%, Evaluation Time: 12.79 minutes.
Epoch [38/100], Loss: 1.4772, Training Accuracy: 57.17%, Testing Accuracy: 36.89%, Evaluation Time: 13.52 minutes.
Epoch [40/100], Loss: 1.1548, Training Accuracy: 65.60%, Testing Accuracy: 36.88%, Evaluation Time: 14.29 minutes.
Epoch [42/100], Loss: 1.9941, Training Accuracy: 50.25%, Testing Accuracy: 28.49%, Evaluation Time: 14.95 minutes.
Epoch [44/100], Loss: 1.6560, Training Accuracy: 52.81%, Testing Accuracy: 35.41%, Evaluation Time: 15.65 minutes.
Epoch [46/100], Loss: 1.2487, Training Accuracy: 63.06%, Testing Accuracy: 36.93%, Evaluation Time: 16.39 minutes.
Epoch [48/100], Loss: 1.4894, Training Accuracy: 58.56%, Testing Accuracy: 31.31%, Evaluation Time: 17.17 minutes.
Epoch [50/100], Loss: 1.7171, Training Accuracy: 51.40%, Testing Accuracy: 34.77%, Evaluation Time: 17.94 minutes.
Epoch [52/100], Loss: 1.2885, Training Accuracy: 61.94%, Testing Accuracy: 37.64%, Evaluation Time: 18.66 minutes.
Epoch [54/100], Loss: 1.1789, Training Accuracy: 64.52%, Testing Accuracy: 37.37%, Evaluation Time: 19.40 minutes.
Epoch [56/100], Loss: 0.8362, Training Accuracy: 74.77%, Testing Accuracy: 36.99%, Evaluation Time: 20.10 minutes.
Epoch [58/100], Loss: 1.1789, Training Accuracy: 64.48%, Testing Accuracy: 35.15%, Evaluation Time: 20.82 minutes.
Epoch [60/100], Loss: 0.9672, Training Accuracy: 70.39%, Testing Accuracy: 37.52%, Evaluation Time: 21.58 minutes.
Epoch [62/100], Loss: 0.9549, Training Accuracy: 70.34%, Testing Accuracy: 37.18%, Evaluation Time: 22.33 minutes.
Epoch [64/100], Loss: 0.6633, Training Accuracy: 79.48%, Testing Accuracy: 36.96%, Evaluation Time: 23.02 minutes.
Epoch [66/100], Loss: 0.8838, Training Accuracy: 73.50%, Testing Accuracy: 35.26%, Evaluation Time: 23.68 minutes.
Epoch [68/100], Loss: 1.7812, Training Accuracy: 53.13%, Testing Accuracy: 33.29%, Evaluation Time: 24.44 minutes.
Epoch [70/100], Loss: 0.9370, Training Accuracy: 71.41%, Testing Accuracy: 36.61%, Evaluation Time: 25.20 minutes.
Epoch [72/100], Loss: 0.7246, Training Accuracy: 77.52%, Testing Accuracy: 36.97%, Evaluation Time: 25.94 minutes.
Epoch [74/100], Loss: 0.6197, Training Accuracy: 80.43%, Testing Accuracy: 36.71%, Evaluation Time: 26.65 minutes.
Epoch [76/100], Loss: 0.4897, Training Accuracy: 84.42%, Testing Accuracy: 36.90%, Evaluation Time: 27.38 minutes.
Epoch [78/100], Loss: 0.4211, Training Accuracy: 86.61%, Testing Accuracy: 36.86%, Evaluation Time: 28.04 minutes.
Epoch [80/100], Loss: 0.5769, Training Accuracy: 81.23%, Testing Accuracy: 36.52%, Evaluation Time: 28.78 minutes.
Epoch [82/100], Loss: 1.3268, Training Accuracy: 61.74%, Testing Accuracy: 34.09%, Evaluation Time: 29.45 minutes.
Epoch [84/100], Loss: 0.6914, Training Accuracy: 77.77%, Testing Accuracy: 36.71%, Evaluation Time: 30.22 minutes.
Epoch [86/100], Loss: 2.3206, Training Accuracy: 42.48%, Testing Accuracy: 30.05%, Evaluation Time: 30.92 minutes.
Epoch [88/100], Loss: 1.4610, Training Accuracy: 57.14%, Testing Accuracy: 33.66%, Evaluation Time: 31.63 minutes.
Epoch [90/100], Loss: 1.2473, Training Accuracy: 62.48%, Testing Accuracy: 34.29%, Evaluation Time: 32.34 minutes.
Epoch [92/100], Loss: 0.9809, Training Accuracy: 69.83%, Testing Accuracy: 35.54%, Evaluation Time: 33.06 minutes.
Epoch [94/100], Loss: 1.4300, Training Accuracy: 57.81%, Testing Accuracy: 33.75%, Evaluation Time: 33.81 minutes.
Epoch [96/100], Loss: 1.2410, Training Accuracy: 62.49%, Testing Accuracy: 33.89%, Evaluation Time: 34.55 minutes.
Epoch [98/100], Loss: 0.9976, Training Accuracy: 68.85%, Testing Accuracy: 35.39%, Evaluation Time: 35.27 minutes.
Epoch [100/100], Loss: 1.2163, Training Accuracy: 65.34%, Testing Accuracy: 32.04%, Evaluation Time: 35.93 minutes.
